month,day,date,country,cumulative_number_of_case,number_of_death,number_recovered,current_case
4,14,14-Apr,Germany,6,0,4,2
4,14,14-Apr,Indonesia,1,0,0,1
4,14,14-Apr,Italy,3,0,2,1
4,14,14-Apr,Kuwait,1,0,0,1
4,14,14-Apr,Malaysia,4,1,0,3
4,14,14-Apr,Philippines,1,0,1,0
4,14,14-Apr,Republic of Ireland,1,0,1,0
4,14,14-Apr,Romania,1,0,0,1
4,14,14-Apr,Singapore,158,12,84,62
4,14,14-Apr,South Africa,1,0,0,1
4,14,14-Apr,Spain,1,0,0,1
4,14,14-Apr,Sweden,1,0,0,1
4,14,14-Apr,Switzerland,1,0,1,0
4,14,14-Apr,Thailand,8,2,5,1
4,14,14-Apr,United Kingdom,6,0,3,3
4,14,14-Apr,United States,174,0,0,174
4,14,14-Apr,Viet Nam,63,5,46,12
4,15,15-Apr,Brazil,2,0,0,2
4,15,15-Apr,Canada,100,13,27,60
4,15,15-Apr,China,2650,120,1331,1199
4,15,15-Apr,Taiwan,23,0,7,16
4,15,15-Apr,France,5,0,1,4
4,15,15-Apr,Germany,6,0,4,2
4,15,15-Apr,Indonesia,1,0,0,1
4,15,15-Apr,Italy,3,0,2,1
4,15,15-Apr,Japan,1,0,0,1
4,15,15-Apr,Kuwait,1,0,0,1
4,15,15-Apr,Malaysia,4,1,0,3
4,15,15-Apr,Philippines,1,0,1,0
4,15,15-Apr,Republic of Ireland,1,0,1,0
4,15,15-Apr,Romania,1,0,1,0
4,15,15-Apr,Singapore,162,13,85,64
4,15,15-Apr,South Africa,1,0,0,1
4,15,15-Apr,Spain,1,0,0,1
4,15,15-Apr,Sweden,1,0,0,1
4,15,15-Apr,Switzerland,1,0,1,0
4,15,15-Apr,Thailand,8,2,5,1
4,15,15-Apr,United Kingdom,6,0,3,3
4,15,15-Apr,United States,193,0,0,193
4,15,15-Apr,Viet Nam,63,5,46,12
4,16,16-Apr,Brazil,2,0,0,2
4,16,16-Apr,Canada,103,13,37,53
4,16,16-Apr,China,2700,125,1351,1224
4,16,16-Apr,Taiwan,27,0,10,17
4,16,16-Apr,France,5,0,1,4
4,16,16-Apr,Germany,6,0,4,2
4,16,16-Apr,Indonesia,1,0,0,1
4,16,16-Apr,Italy,3,0,2,1
4,16,16-Apr,Japan,1,0,0,1
4,16,16-Apr,Kuwait,1,0,0,1
4,16,16-Apr,Malaysia,5,1,0,4
4,16,16-Apr,Philippines,1,0,1,0
4,16,16-Apr,Republic of Ireland,1,0,1,0
4,16,16-Apr,Romania,1,0,1,0
4,16,16-Apr,Singapore,162,13,85,64
4,16,16-Apr,South Africa,1,0,0,1
4,16,16-Apr,Spain,1,0,0,1
4,16,16-Apr,Sweden,1,0,0,1
4,16,16-Apr,Switzerland,1,0,1,0
4,16,16-Apr,Thailand,8,2,5,1
4,16,16-Apr,United Kingdom,6,0,3,3
4,16,16-Apr,United States,193,0,0,193
4,16,16-Apr,Viet Nam,63,5,46,12
4,17,17-Apr,Australia,3,0,3,0
4,17,17-Apr,Brazil,2,0,0,2
4,17,17-Apr,Canada,126,12,46,68
4,17,17-Apr,China,2754,130,1379,1245
4,17,17-Apr,Taiwan,27,0,10,17
4,17,17-Apr,France,5,0,1,4
4,17,17-Apr,Germany,6,0,4,2
4,17,17-Apr,India,1,0,0,1
4,17,17-Apr,Indonesia,1,0,0,1
4,17,17-Apr,Italy,3,0,2,1
4,17,17-Apr,Japan,2,0,0,2
4,17,17-Apr,Kuwait,1,0,0,1
4,17,17-Apr,Malaysia,5,1,0,4
4,17,17-Apr,Mongolia,3,0,3,0
4,17,17-Apr,Philippines,1,0,1,0
4,17,17-Apr,Republic of Ireland,1,0,1,0
4,17,17-Apr,Romania,1,0,1,0
4,17,17-Apr,Singapore,167,15,91,61
4,17,17-Apr,South Africa,1,0,0,1
4,17,17-Apr,Spain,1,0,0,1
4,17,17-Apr,Sweden,1,0,0,1
4,17,17-Apr,Switzerland,1,0,1,0
4,17,17-Apr,Thailand,8,2,5,1
4,17,17-Apr,United Kingdom,6,0,3,3
4,17,17-Apr,United States,199,0,0,199
4,17,17-Apr,Viet Nam,63,5,46,12
4,18,18-Apr,Australia,3,0,3,0
4,18,18-Apr,Brazil,2,0,0,2
4,18,18-Apr,Canada,132,12,54,66
4,18,18-Apr,China,2870,146,1503,1221
4,18,18-Apr,Taiwan,29,0,17,12
4,18,18-Apr,France,5,0,1,4
4,18,18-Apr,Germany,6,0,4,2
4,18,18-Apr,India,1,0,1,0
4,18,18-Apr,Indonesia,1,0,0,1
4,18,18-Apr,Italy,3,0,2,1
4,18,18-Apr,Japan,4,0,0,4
4,18,18-Apr,Kuwait,1,0,0,1
4,18,18-Apr,Malaysia,5,1,0,4
4,18,18-Apr,Mongolia,3,0,3,0
4,18,18-Apr,Philippines,1,0,1,0
4,18,18-Apr,Republic of Ireland,1,0,1,0
4,18,18-Apr,Romania,1,0,1,0
4,18,18-Apr,Singapore,177,16,100,61
4,18,18-Apr,South Africa,1,0,0,1
4,18,18-Apr,Spain,1,0,0,1
4,18,18-Apr,Sweden,3,0,0,3
4,18,18-Apr,Switzerland,1,0,1,0
4,18,18-Apr,Thailand,7,2,6,-1
4,18,18-Apr,United Kingdom,6,0,5,1
4,18,18-Apr,United States,220,0,0,220
4,18,18-Apr,Viet Nam,63,5,46,12
4,19,19-Apr,Australia,3,0,3,0
4,19,19-Apr,Brazil,2,0,0,2
4,19,19-Apr,Canada,132,12,54,66
4,19,19-Apr,China,2870,146,1503,1221
4,19,19-Apr,Taiwan,29,0,17,12
4,19,19-Apr,France,5,0,1,4
4,19,19-Apr,Germany,6,0,4,2
4,19,19-Apr,India,1,0,1,0
4,19,19-Apr,Indonesia,1,0,0,1
4,19,19-Apr,Italy,3,0,2,1
4,19,19-Apr,Japan,4,0,0,4
4,19,19-Apr,Kuwait,1,0,0,1
4,19,19-Apr,Malaysia,5,1,0,4
4,19,19-Apr,Mongolia,3,0,3,0
4,19,19-Apr,Philippines,1,0,1,0
4,19,19-Apr,Republic of Ireland,1,0,1,0
4,19,19-Apr,Romania,1,0,1,0
4,19,19-Apr,Singapore,177,16,100,61
4,19,19-Apr,South Africa,1,0,0,1
4,19,19-Apr,Spain,1,0,0,1
4,19,19-Apr,Sweden,3,0,0,3
4,19,19-Apr,Switzerland,1,0,1,0
4,19,19-Apr,Thailand,7,2,6,-1
4,19,19-Apr,United Kingdom,6,0,5,1
4,19,19-Apr,United States,220,0,0,220
4,19,19-Apr,Viet Nam,63,5,46,12
4,20,20-Apr,Australia,3,0,3,0
4,20,20-Apr,Brazil,2,0,0,2
4,20,20-Apr,Canada,132,12,54,66
4,20,20-Apr,China,2870,146,1503,1221
4,20,20-Apr,Taiwan,29,0,17,12
4,20,20-Apr,France,5,0,1,4
4,20,20-Apr,Germany,6,0,4,2
4,20,20-Apr,India,1,0,1,0
4,20,20-Apr,Indonesia,1,0,0,1
4,20,20-Apr,Italy,3,0,2,1
4,20,20-Apr,Japan,4,0,0,4
4,20,20-Apr,Kuwait,1,0,0,1
4,20,20-Apr,Malaysia,5,1,0,4
4,20,20-Apr,Mongolia,3,0,3,0
4,20,20-Apr,Philippines,1,0,1,0
4,20,20-Apr,Republic of Ireland,1,0,1,0
4,20,20-Apr,Romania,1,0,1,0
4,20,20-Apr,Singapore,177,16,100,61
4,20,20-Apr,South Africa,1,0,0,1
4,20,20-Apr,Spain,1,0,0,1
4,20,20-Apr,Sweden,3,0,0,3
4,20,20-Apr,Switzerland,1,0,1,0
4,20,20-Apr,Thailand,7,2,6,-1
4,20,20-Apr,United Kingdom,6,0,5,1
4,20,20-Apr,United States,220,0,0,220
4,20,20-Apr,Viet Nam,63,5,46,12
4,21,21-Apr,Australia,3,0,3,0
