date	country	value	key
3/23	Japan	0	RecoveredCase
3/23	Kuwait	0	DeadCase
3/23	Kuwait	0	CurrentCase
3/23	Kuwait	0	RecoveredCase
3/23	Malaysia	0	DeadCase
3/23	Malaysia	0	CurrentCase
3/23	Malaysia	0	RecoveredCase
3/23	Mongolia	0	DeadCase
3/23	Mongolia	0	CurrentCase
3/23	Mongolia	0	RecoveredCase
3/23	New Zealand	0	DeadCase
3/23	New Zealand	0	CurrentCase
3/23	New Zealand	0	RecoveredCase
3/23	Philippines	0	DeadCase
3/23	Philippines	0	CurrentCase
3/23	Philippines	0	RecoveredCase
3/23	Poland	0	DeadCase
3/23	Poland	0	CurrentCase
3/23	Poland	0	RecoveredCase
3/23	Republic of Ireland	0	DeadCase
3/23	Republic of Ireland	1	CurrentCase
3/23	Republic of Ireland	0	RecoveredCase
3/23	Republic of Korea	0	DeadCase
3/23	Republic of Korea	0	CurrentCase
3/23	Republic of Korea	0	RecoveredCase
3/23	Romania	0	DeadCase
3/23	Romania	0	CurrentCase
3/23	Romania	0	RecoveredCase
3/23	Russian Federation	0	DeadCase
3/23	Russian Federation	0	CurrentCase
3/23	Russian Federation	0	RecoveredCase
3/23	Singapore	0	DeadCase
3/23	Singapore	4	CurrentCase
3/23	Singapore	0	RecoveredCase
3/23	Slovenia	0	DeadCase
3/23	Slovenia	0	CurrentCase
3/23	Slovenia	0	RecoveredCase
3/23	South Africa	0	DeadCase
3/23	South Africa	0	CurrentCase
3/23	South Africa	0	RecoveredCase
3/23	Spain	0	DeadCase
3/23	Spain	1	CurrentCase
3/23	Spain	0	RecoveredCase
3/23	Sweden	0	DeadCase
3/23	Sweden	0	CurrentCase
3/23	Sweden	0	RecoveredCase
3/23	Switzerland	0	DeadCase
3/23	Switzerland	7	CurrentCase
3/23	Switzerland	0	RecoveredCase
3/23	Taiwan	0	DeadCase
3/23	Taiwan	6	CurrentCase
3/23	Taiwan	0	RecoveredCase
3/23	Thailand	0	DeadCase
3/23	Thailand	4	CurrentCase
3/23	Thailand	0	RecoveredCase
3/23	United States	0	DeadCase
3/23	United States	22	CurrentCase
3/23	United States	0	RecoveredCase
3/24	Republic of Ireland	0	DeadCase
3/24	Republic of Ireland	1	CurrentCase
3/24	Republic of Ireland	0	RecoveredCase
3/24	Australia	0	DeadCase
3/24	Australia	0	CurrentCase
3/24	Australia	0	RecoveredCase
3/24	Belgium	0	DeadCase
3/24	Belgium	0	CurrentCase
3/24	Belgium	0	RecoveredCase
3/24	Brazil	0	DeadCase
3/24	Brazil	0	CurrentCase
3/24	Brazil	0	RecoveredCase
3/24	Bulgaria	0	DeadCase
3/24	Bulgaria	0	CurrentCase
3/24	Bulgaria	0	RecoveredCase
3/24	Canada	3	DeadCase
3/24	Canada	8	CurrentCase
3/24	Canada	0	RecoveredCase
3/24	China	10	DeadCase
3/24	China	250	CurrentCase
3/24	China	0	RecoveredCase
3/24	Colombia	0	DeadCase
3/24	Colombia	0	CurrentCase
3/24	Colombia	0	RecoveredCase
3/24	Finland	0	DeadCase
3/24	Finland	0	CurrentCase
3/24	Finland	0	RecoveredCase
3/24	France	0	DeadCase
3/24	France	1	CurrentCase
3/24	France	0	RecoveredCase
3/24	Germany	0	DeadCase
3/24	Germany	4	CurrentCase
3/24	Germany	0	RecoveredCase
3/24	India	0	DeadCase
3/24	India	0	CurrentCase
3/24	India	0	RecoveredCase
3/24	Indonesia	0	DeadCase
3/24	Indonesia	0	CurrentCase
